Bundesland,date,confirmed,deaths
Berlin,2020-03-12,137,0.0
Berlin,2020-03-13,174.0,0.0
Berlin,2020-03-14,216.0,0.0
Berlin,2020-03-15,265,0.0
Berlin,2020-03-16,300,0.0
Berlin,2020-03-17,345,0.0
Berlin,2020-03-18,391,0.0
Berlin,2020-03-19,391.0,0.0
Brandenburg,2020-03-03,1,0.0
Brandenburg,2020-03-04,1,0.0
Brandenburg,2020-03-05,1,0.0
Brandenburg,2020-03-06,2,0.0
Brandenburg,2020-03-07,2,0.0
Brandenburg,2020-03-08,4,0.0
Brandenburg,2020-03-09,6,0.0
Brandenburg,2020-03-10,9,0.0
Brandenburg,2020-03-11,24,0.0
Brandenburg,2020-03-12,30,0.0
Brandenburg,2020-03-13,44.0,0.0
Brandenburg,2020-03-14,61.0,0.0
Brandenburg,2020-03-15,84,0.0
Brandenburg,2020-03-16,94,0.0
Brandenburg,2020-03-17,73,0.0
Brandenburg,2020-03-18,92,0.0
Brandenburg,2020-03-19,92.0,0.0
Bremen,2020-03-01,1,0.0
Bremen,2020-03-02,1,0.0
Bremen,2020-03-03,2,0.0
Bremen,2020-03-04,3,0.0
Bremen,2020-03-05,3,0.0
Bremen,2020-03-06,4,0.0
Bremen,2020-03-07,4,0.0
Bremen,2020-03-08,4,0.0
Bremen,2020-03-09,4,0.0
Bremen,2020-03-10,4,0.0
Bremen,2020-03-11,21,0.0
Bremen,2020-03-12,38,0.0
Bremen,2020-03-13,42.0,0.0
Bremen,2020-03-14,50.0,0.0
Bremen,2020-03-15,53,0.0
Bremen,2020-03-16,56,0.0
Bremen,2020-03-17,57,0.0
Bremen,2020-03-18,69,0.0
Bremen,2020-03-19,69.0,0.0
Hamburg,2020-03-01,1,0.0
Hamburg,2020-03-02,1,0.0
Hamburg,2020-03-03,2,0.0
Hamburg,2020-03-04,3,0.0
Hamburg,2020-03-05,5,0.0
Hamburg,2020-03-06,11,0.0
Hamburg,2020-03-07,13,0.0
Hamburg,2020-03-08,13,0.0
Hamburg,2020-03-09,17,0.0
Hamburg,2020-03-10,29,0.0
Hamburg,2020-03-11,48,0.0
Hamburg,2020-03-12,88,0.0
Hamburg,2020-03-13,99.0,0.0
Hamburg,2020-03-14,158.0,0.0
Hamburg,2020-03-15,162,0.0
Hamburg,2020-03-16,260,0.0
Hamburg,2020-03-17,310,0.0
Hamburg,2020-03-18,358,0.0
Hamburg,2020-03-19,358.0,0.0
Hessen,2020-02-29,3,0.0
Hessen,2020-03-01,8,0.0
Hessen,2020-03-02,10,0.0
Hessen,2020-03-03,12,0.0
Hessen,2020-03-04,12,0.0
Hessen,2020-03-05,14,0.0
Hessen,2020-03-06,16,0.0
Hessen,2020-03-07,17,0.0
Hessen,2020-03-08,19,0.0
Hessen,2020-03-09,26,0.0
Hessen,2020-03-10,35,0.0
Hessen,2020-03-11,48,0.0
Hessen,2020-03-12,99,0.0
Hessen,2020-03-13,148.0,0.0
Hessen,2020-03-14,203.0,0.0
Hessen,2020-03-15,286,0.0
Hessen,2020-03-16,342,0.0
Hessen,2020-03-17,373,0.0
Hessen,2020-03-18,432,0.0
Hessen,2020-03-19,432.0,0.0
Mecklenburg-Vorpommern,2020-03-04,4,0.0
Mecklenburg-Vorpommern,2020-03-05,4,0.0
Mecklenburg-Vorpommern,2020-03-06,5,0.0
Mecklenburg-Vorpommern,2020-03-07,5,0.0
Mecklenburg-Vorpommern,2020-03-08,8,0.0
Mecklenburg-Vorpommern,2020-03-09,10,0.0
Mecklenburg-Vorpommern,2020-03-10,13,0.0
Mecklenburg-Vorpommern,2020-03-11,17,0.0
Mecklenburg-Vorpommern,2020-03-12,23,0.0
Mecklenburg-Vorpommern,2020-03-13,33.0,0.0
Mecklenburg-Vorpommern,2020-03-14,45.0,0.0
Mecklenburg-Vorpommern,2020-03-15,50,0.0
Mecklenburg-Vorpommern,2020-03-16,51,0.0
Mecklenburg-Vorpommern,2020-03-17,45,0.0
Mecklenburg-Vorpommern,2020-03-18,56,0.0
Mecklenburg-Vorpommern,2020-03-19,56.0,0.0
Niedersachsen,2020-03-01,1,0.0
Niedersachsen,2020-03-02,1,0.0
Niedersachsen,2020-03-03,2,0.0
Niedersachsen,2020-03-04,7,0.0
Niedersachsen,2020-03-05,18,0.0
Niedersachsen,2020-03-06,18,0.0
Niedersachsen,2020-03-07,19,0.0
Niedersachsen,2020-03-08,21,0.0
Niedersachsen,2020-03-09,38,0.0
Niedersachsen,2020-03-10,49,0.0
Niedersachsen,2020-03-11,75,0.0
Niedersachsen,2020-03-12,129,0.0
Niedersachsen,2020-03-13,230.0,0.0
Niedersachsen,2020-03-14,253.0,0.0
Niedersachsen,2020-03-15,287,0.0
Niedersachsen,2020-03-16,391,0.0
Niedersachsen,2020-03-17,325,0.0
Niedersachsen,2020-03-18,478,0.0
Niedersachsen,2020-03-19,478.0,0.0
Nordrhein-Westfalen,2020-02-29,30,0.0
Nordrhein-Westfalen,2020-03-01,74,0.0
Nordrhein-Westfalen,2020-03-02,86,0.0
Nordrhein-Westfalen,2020-03-03,103,0.0
Nordrhein-Westfalen,2020-03-04,115,0.0
Nordrhein-Westfalen,2020-03-05,181,0.0
Nordrhein-Westfalen,2020-03-06,329,0.0
Nordrhein-Westfalen,2020-03-07,373,0.0
Nordrhein-Westfalen,2020-03-08,398,0.0
Nordrhein-Westfalen,2020-03-09,484,0.0
Nordrhein-Westfalen,2020-03-10,484,0.0
Nordrhein-Westfalen,2020-03-11,484,0.0
Nordrhein-Westfalen,2020-03-12,688,3.0
Nordrhein-Westfalen,2020-03-13,936.0,3.0
Nordrhein-Westfalen,2020-03-14,1154.0,5.0
Nordrhein-Westfalen,2020-03-15,1407,5.0
Nordrhein-Westfalen,2020-03-16,1541,5.0
Nordrhein-Westfalen,2020-03-17,2105,6.0
Nordrhein-Westfalen,2020-03-18,2372,6.0
Nordrhein-Westfalen,2020-03-19,2372.0,6.0
Repatriierte,2020-02-29,2,0.0
Repatriierte,2020-03-01,2,0.0
Repatriierte,2020-03-02,2,0.0
Rheinland-Pfalz,2020-02-29,1,0.0
Rheinland-Pfalz,2020-03-01,2,0.0
Rheinland-Pfalz,2020-03-02,2,0.0
Rheinland-Pfalz,2020-03-03,2,0.0
Rheinland-Pfalz,2020-03-04,7,0.0
Rheinland-Pfalz,2020-03-05,8,0.0
Rheinland-Pfalz,2020-03-06,10,0.0
Rheinland-Pfalz,2020-03-07,13,0.0
Rheinland-Pfalz,2020-03-08,19,0.0
Rheinland-Pfalz,2020-03-09,17,0.0
Rheinland-Pfalz,2020-03-10,25,0.0
Rheinland-Pfalz,2020-03-11,25,0.0
Rheinland-Pfalz,2020-03-12,52,0.0
Rheinland-Pfalz,2020-03-13,102.0,0.0
Rheinland-Pfalz,2020-03-14,121.0,0.0
Rheinland-Pfalz,2020-03-15,168,0.0
Rheinland-Pfalz,2020-03-16,325,0.0
Rheinland-Pfalz,2020-03-17,442,0.0
Rheinland-Pfalz,2020-03-18,474,0.0
Rheinland-Pfalz,2020-03-19,474.0,0.0
Saarland,2020-03-04,1,0.0
Saarland,2020-03-05,1,0.0
Saarland,2020-03-06,2,0.0
Saarland,2020-03-07,3,0.0
Saarland,2020-03-08,4,0.0
Saarland,2020-03-09,6,0.0
Saarland,2020-03-10,7,0.0
Saarland,2020-03-11,14,0.0
Saarland,2020-03-12,14,0.0
Saarland,2020-03-13,40.0,0.0
Saarland,2020-03-14,40.0,0.0
Saarland,2020-03-15,32,0.0
Saarland,2020-03-16,85,0.0
Saarland,2020-03-17,75,0.0
Saarland,2020-03-18,88,0.0
Saarland,2020-03-19,88.0,0.0
Sachsen,2020-03-03,1,0.0
Sachsen,2020-03-04,1,0.0
Sachsen,2020-03-05,1,0.0
Sachsen,2020-03-06,2,0.0
Sachsen,2020-03-07,4,0.0
Sachsen,2020-03-08,7,0.0
Sachsen,2020-03-09,12,0.0
Sachsen,2020-03-10,22,0.0
Sachsen,2020-03-11,26,0.0
Sachsen,2020-03-12,45,0.0
Sachsen,2020-03-13,83.0,0.0
Sachsen,2020-03-14,93.0,0.0
Sachsen,2020-03-15,130,0.0
Sachsen,2020-03-16,140,0.0
Sachsen,2020-03-17,182,0.0
Sachsen,2020-03-18,198,0.0
Sachsen,2020-03-19,198.0,0.0
Sachsen-Anhalt,2020-03-10,7,0.0
Sachsen-Anhalt,2020-03-11,15,0.0
Sachsen-Anhalt,2020-03-12,27,0.0
Sachsen-Anhalt,2020-03-13,42.0,0.0
Sachsen-Anhalt,2020-03-14,45.0,0.0
Sachsen-Anhalt,2020-03-15,47,0.0
Sachsen-Anhalt,2020-03-16,77,0.0
Sachsen-Anhalt,2020-03-17,58,0.0
Sachsen-Anhalt,2020-03-18,105,0.0
Sachsen-Anhalt,2020-03-19,105.0,0.0
Schleswig Holstein,2020-02-29,1,0.0
Schleswig Holstein,2020-03-01,2,0.0
Schleswig Holstein,2020-03-02,2,0.0
Schleswig Holstein,2020-03-03,2,0.0
Schleswig Holstein,2020-03-04,2,0.0
Schleswig Holstein,2020-03-05,7,0.0
Schleswig Holstein,2020-03-06,7,0.0
Schleswig Holstein,2020-03-07,8,0.0
Schleswig Holstein,2020-03-08,9,0.0
Schleswig-Holstein,2020-03-09,9,0.0
Schleswig-Holstein,2020-03-10,9,0.0
Schleswig-Holstein,2020-03-11,27,0.0
Schleswig-Holstein,2020-03-12,31,0.0
Schleswig-Holstein,2020-03-13,48.0,0.0
Schleswig-Holstein,2020-03-14,60.0,0.0
Schleswig-Holstein,2020-03-15,103,0.0
Schleswig-Holstein,2020-03-16,123,0.0
Schleswig-Holstein,2020-03-17,127,0.0
Schleswig-Holstein,2020-03-18,159,0.0
Schleswig-Holstein,2020-03-19,159.0,0.0
Thüringen,2020-03-03,1,0.0
Thüringen,2020-03-04,1,0.0
Thüringen,2020-03-05,1,0.0
Thüringen,2020-03-06,1,0.0
Thüringen,2020-03-07,2,0.0
Thüringen,2020-03-08,2,0.0
Thüringen,2020-03-09,2,0.0
Thüringen,2020-03-10,4,0.0
Thüringen,2020-03-11,10,0.0
Thüringen,2020-03-12,14,0.0
Thüringen,2020-03-13,29.0,0.0
Thüringen,2020-03-14,46.0,0.0
Thüringen,2020-03-15,51,0.0
Thüringen,2020-03-16,55,0.0
Thüringen,2020-03-17,55,0.0
Thüringen,2020-03-18,74,0.0
Thüringen,2020-03-19,74.0,0.0
